timesteps,balance,equity,position
1000,12681.56587385854,12681.56587385854,0
2000,17322.942911243666,17669.696726062484,1
3000,25499.922821074397,25344.522078001875,1
4000,22848.011500848974,22911.73929708928,1
5000,19393.021776487603,19381.159607173377,-1
6000,23368.521011092267,23337.412691270194,1
7000,19624.474791156532,19496.45979676396,1
8000,13863.821153108911,13854.642311353085,-1
9000,14543.057226878891,14515.922835058185,-1
10000,19636.44233518168,19636.44233518168,0
11000,17161.89079271034,17161.89079271034,0
12000,15414.299581055408,15404.078654638082,1
13000,16071.514322315672,16067.499576577075,1
14000,11665.614476818802,11634.049644728388,-1
15000,10878.579522579143,10857.393528787878,-1
16000,10378.008520637995,10378.008520637995,0
17000,9786.221836529961,9816.341431378345,1
18000,11070.981062472578,11112.78066429037,1
19000,9627.943257504176,9627.943257504176,0
20000,10702.621194689824,10702.621194689824,0
21000,11128.460424655235,11128.460424655235,0
22000,13559.012850391942,13553.115695714027,-1
23000,20223.222723098683,20317.397107242497,-1
24000,26940.81990062749,26940.81990062749,0
25000,30510.704914767186,30496.507383760974,-1
26000,28167.715441754754,28023.73434055966,-1
27000,29486.70574887937,29969.318087968557,1
28000,36132.9539057272,36132.9539057272,0
29000,30544.447333318243,30500.52355653327,-1
30000,36977.50343473536,37018.56597052689,1
31000,36119.51244542185,36062.66658800992,1
32000,28007.488093056832,28086.269673246854,1
33000,23348.03975167779,23795.31101894147,-1
34000,18649.194609565908,18628.06559845082,-1
35000,13569.413437579176,13471.322244892735,-1
36000,13506.262441887919,13506.262441887919,0
37000,11124.862371769683,11124.862371769677,1
38000,11252.248948730268,11444.656093891836,-1
39000,9085.128736587989,9024.099911091764,-1
40000,10632.482150493384,10608.82912154738,-1
41000,11377.196945755119,11441.789270552938,1
42000,9456.67073696209,9293.644519120497,1
43000,12534.6465918021,12635.20322595531,-1
44000,17243.041284385334,17324.444213617313,1
45000,17981.81871816156,17831.18228254597,1
46000,13873.714001300345,13865.269827296946,-1
47000,15124.80643721757,15114.112399132888,1
48000,12356.273984853753,12343.818694010035,1
49000,10145.717740715738,10089.889132322825,-1
50000,9857.822903116414,9722.629908816058,-1
51000,10722.240687753654,10722.240687753654,0
52000,11025.130478433204,10885.573774963916,1
53000,9213.037263714019,9213.037263714019,0
54000,12990.833238758698,12990.833238758698,0
55000,13788.227952050589,13777.61399249016,-1
56000,13562.390847070214,13522.496696630229,1
57000,9101.738646718813,9165.894926145651,1
58000,9940.81958924868,9940.81958924868,0
59000,9849.06127827291,9941.45440201096,-1
60000,10763.85969273203,10762.983605162295,1
61000,11118.580690430459,11146.845085442948,1
62000,10275.189465940586,10272.15221258635,1
63000,9444.730151427211,9491.171836776753,-1
64000,11087.85971618305,11060.15028607255,-1
65000,10323.64457379958,10306.403818630877,1
66000,12667.80265401725,12656.410504854857,1
67000,16316.435323257387,16189.265945115169,-1
68000,15374.395698035476,15374.395698035476,0
69000,11661.941543790848,11688.932601703948,-1
70000,10968.74860165576,10968.74860165576,0
71000,14132.11513957711,14133.036693347096,1
72000,22476.72935400458,22283.226230871318,-1
73000,33983.41902411319,34507.883287428485,1
74000,40166.29109087178,39829.82002909305,1
75000,46409.09522072264,46409.09522072264,0
76000,46716.68549586069,46757.66633576122,1
77000,56047.95562373562,56201.73690901688,-1
78000,85431.42225928082,85612.62286939025,1
79000,102760.80198663693,103205.88607322615,-1
80000,116253.23836147341,116253.23836147341,0
81000,156756.89628592585,156507.28310366892,-1
82000,101291.93754977867,101291.93754977867,0
83000,99531.25556880007,100517.19494308377,-1
84000,78880.40575313073,78880.40575313073,0
85000,49589.91259514894,49589.91259514894,0
86000,30031.42937268958,30031.42937268958,0
87000,19439.402851873125,19439.402851873125,0
88000,12991.508768310458,12957.637340271087,-1
89000,9501.299381101919,9501.299381101919,0
90000,9635.303696214532,9668.816376934741,-1
91000,13598.772662751102,13535.814463105113,1
92000,21665.632287763572,21659.105899661135,-1
93000,14429.315826987846,14443.894483624115,1
94000,17642.245280395888,17804.717699793368,1
95000,15407.110830416588,15394.740630199094,-1
96000,14506.865306050468,14440.754878294963,-1
97000,13928.196349846814,13921.261419438993,1
98000,11020.242680208798,11064.104146479007,-1
99000,10618.091620533043,10642.562369444615,1
100000,15398.587497949415,15391.910342454132,1
101000,16899.219384218082,16894.549643596813,1
102000,13876.039857419173,13918.004036167738,-1
103000,18461.47032241016,18626.93864483005,-1
104000,18603.747861431275,18599.804026320733,-1
105000,21007.61550583112,21007.61550583112,0
106000,14256.882383674474,14289.795017452241,1
107000,12020.033637248942,12109.907086007517,1
108000,9684.592605177806,9684.592605177806,0
109000,10454.421455914242,10513.105258570327,1
110000,17136.7219662775,17232.769115981027,1
111000,26595.66395353572,26595.66395353572,0
112000,26642.149584239207,27122.12023638764,1
113000,35530.65844778363,35999.940787601176,1
114000,46707.78196698807,46673.05122185296,-1
115000,37999.42211209616,38336.35290174309,-1
116000,46113.576422859805,46204.12711621923,1
117000,49695.37065784278,49617.095433921226,-1
118000,48737.63928584594,49015.52062704129,-1
119000,45284.56937629184,45235.62080282426,-1
120000,31603.185190153676,31852.06151822665,-1
121000,27194.498662220263,27280.0747836699,1
122000,23048.207137990343,23048.207137990343,0
123000,18497.923450903905,18497.92345090391,1
124000,14179.659707459095,14203.392382524818,-1
125000,12248.941690914315,12290.924274219475,-1
126000,11152.476703758299,11162.276993710342,1
127000,10918.068528292415,10958.364862732533,1
128000,9962.758654679012,9932.764221101132,1
129000,10092.785708932104,10091.238386735366,1
130000,10348.491067061981,10345.326615884438,-1
131000,10027.923615853822,10033.051407399067,-1
132000,11187.388262652099,11256.601168301142,-1
133000,9787.706763884767,9863.541021049305,1
134000,12449.361206152958,12436.971763372338,1
135000,14759.915597690138,14759.915597690138,0
136000,13907.264130067293,13967.349594174797,-1
137000,12690.350120760426,12608.721977599584,-1
138000,10066.009438562347,10093.413858536682,1
139000,10034.953864386727,10185.034167465228,-1
140000,12049.364111810191,12126.96366397389,1
141000,12821.463717979028,12821.463717979028,0
142000,17749.97010122231,17839.371534393933,-1
143000,16288.648766681736,16271.302547558562,-1
144000,16898.283550285203,16872.96800121485,1
145000,22006.938137103767,21812.189443062893,1
146000,21312.367845926998,21312.367845926998,0
147000,19454.371292271546,19533.371336144635,-1
148000,18445.466132328787,18572.28920084954,-1
149000,18094.07405791217,18294.268093983683,-1
150000,13119.350475176869,13266.599572197229,1
